Grid->dimx = 50 Grid->dimy = 50 Grid->cell = 0x7f96887bc010
X = 9 Y = 5 cell = 0x7f96887c61f0
X = 9 Y = 6 cell = 0x7f96887c8130
X = 9 Y = 7 cell = 0x7f96887ca070
X = 9 Y = 8 cell = 0x7f96887cbfb0
X = 9 Y = 9 cell = 0x7f96887cdef0
X = 9 Y = 10 cell = 0x7f96887cfe30
X = 9 Y = 11 cell = 0x7f96887d1d70
X = 9 Y = 12 cell = 0x7f96887d3cb0
X = 9 Y = 13 cell = 0x7f96887d5bf0
X = 9 Y = 14 cell = 0x7f96887d7b30
X = 9 Y = 15 cell = 0x7f96887d9a70
X = 9 Y = 16 cell = 0x7f96887db9b0
X = 9 Y = 17 cell = 0x7f96887dd8f0
X = 9 Y = 18 cell = 0x7f96887df830
X = 9 Y = 19 cell = 0x7f96887e1770
X = 9 Y = 20 cell = 0x7f96887e36b0
X = 9 Y = 21 cell = 0x7f96887e55f0
X = 9 Y = 22 cell = 0x7f96887e7530
X = 9 Y = 23 cell = 0x7f96887e9470
X = 9 Y = 24 cell = 0x7f96887eb3b0
X = 9 Y = 25 cell = 0x7f96887ed2f0
X = 9 Y = 26 cell = 0x7f96887ef230
X = 9 Y = 27 cell = 0x7f96887f1170
X = 9 Y = 28 cell = 0x7f96887f30b0
X = 9 Y = 29 cell = 0x7f96887f4ff0
X = 9 Y = 30 cell = 0x7f96887f6f30
X = 9 Y = 31 cell = 0x7f96887f8e70
X = 9 Y = 32 cell = 0x7f96887fadb0
X = 9 Y = 33 cell = 0x7f96887fccf0
X = 9 Y = 34 cell = 0x7f96887fec30
X = 9 Y = 35 cell = 0x7f9688800b70
X = 9 Y = 36 cell = 0x7f9688802ab0
X = 9 Y = 37 cell = 0x7f96888049f0
X = 9 Y = 38 cell = 0x7f9688806930
X = 9 Y = 39 cell = 0x7f9688808870
X = 9 Y = 40 cell = 0x7f968880a7b0
X = 9 Y = 41 cell = 0x7f968880c6f0
X = 9 Y = 42 cell = 0x7f968880e630
X = 9 Y = 43 cell = 0x7f9688810570
X = 9 Y = 44 cell = 0x7f96888124b0
X = 9 Y = 45 cell = 0x7f96888143f0
X = 9 Y = 46 cell = 0x7f9688816330
X = 9 Y = 47 cell = 0x7f9688818270
X = 9 Y = 48 cell = 0x7f968881a1b0
X = 9 Y = 49 cell = 0x7f968881c0f0
X = 10 Y = 0 cell = 0x7f96887bc650
X = 10 Y = 1 cell = 0x7f96887be590
X = 10 Y = 2 cell = 0x7f96887c04d0
X = 10 Y = 3 cell = 0x7f96887c2410
X = 10 Y = 4 cell = 0x7f96887c4350
X = 10 Y = 5 cell = 0x7f96887c6290
X = 10 Y = 6 cell = 0x7f96887c81d0
X = 10 Y = 7 cell = 0x7f96887ca110
X = 10 Y = 8 cell = 0x7f96887cc050
X = 10 Y = 9 cell = 0x7f96887cdf90
X = 10 Y = 10 cell = 0x7f96887cfed0
X = 10 Y = 11 cell = 0x7f96887d1e10
X = 10 Y = 12 cell = 0x7f96887d3d50
X = 10 Y = 13 cell = 0x7f96887d5c90
X = 10 Y = 14 cell = 0x7f96887d7bd0
X = 10 Y = 15 cell = 0x7f96887d9b10
X = 10 Y = 16 cell = 0x7f96887dba50
X = 10 Y = 17 cell = 0x7f96887dd990
X = 10 Y = 18 cell = 0x7f96887df8d0
X = 10 Y = 19 cell = 0x7f96887e1810
X = 10 Y = 20 cell = 0x7f96887e3750
X = 10 Y = 21 cell = 0x7f96887e5690
X = 10 Y = 22 cell = 0x7f96887e75d0
X = 10 Y = 23 cell = 0x7f96887e9510
X = 10 Y = 24 cell = 0x7f96887eb450
X = 10 Y = 25 cell = 0x7f96887ed390
X = 10 Y = 26 cell = 0x7f96887ef2d0
X = 10 Y = 27 cell = 0x7f96887f1210
X = 10 Y = 28 cell = 0x7f96887f3150
X = 10 Y = 29 cell = 0x7f96887f5090
X = 10 Y = 30 cell = 0x7f96887f6fd0
X = 10 Y = 31 cell = 0x7f96887f8f10
X = 10 Y = 32 cell = 0x7f96887fae50
X = 10 Y = 33 cell = 0x7f96887fcd90
X = 10 Y = 34 cell = 0x7f96887fecd0
X = 10 Y = 35 cell = 0x7f9688800c10
X = 10 Y = 36 cell = 0x7f9688802b50
X = 10 Y = 37 cell = 0x7f9688804a90
X = 10 Y = 38 cell = 0x7f96888069d0
X = 10 Y = 39 cell = 0x7f9688808910
X = 10 Y = 40 cell = 0x7f968880a850
